node:events:486
      throw er; // Unhandled 'error' event
      ^

Error: listen EADDRINUSE: address already in use :::3000
    at Server.setupListenHandle [as _listen2] (node:net:1940:16)
    at listenInCluster (node:net:1997:12)
    at Server.listen (node:net:2102:7)
    at app.listen (/Users/bhargavcn/Proj✗ Access denied: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 0, 209ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 49ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 64ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 49ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 63ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 58ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 62ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 70ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 61ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 60ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 59ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 58ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 49ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 49ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 59ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 49ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 62ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 61ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 126ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 91ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 57ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 61ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 67ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 57ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 59ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 57ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 62ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 59ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 56ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 51ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 54ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 52ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 61ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 55ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 70ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 57ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 53ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
✓ Access granted: 0x58498884EDF3f56E0CA94285908Bd2578D7CDbFe (balance: 1, 50ms)
